Person,Date of birth,Birthplace,Country of birth,Award,Edition,Movie,Year of award,Bio NNDB,Bio IMDb,Bio Wikipedia,imdbID,movieID,movie_IMDB_Link,,Birth Year,Age When Award
Angus Wall,1967/3/15,,,Best Film Editing,84th Academy Awards,The Girl with the Dragon Tattoo,2011,,https://www.imdb.com/name/nm0908370,https://en.wikipedia.org/wiki/Angus_Wall,nm0908370,tt1132620,https://www.imdb.com/title/tt1132620/,,1967,44
Sharmeen Obaid-Chinoy,1978/11/12,Karachi,Pakistan,Best Documentary (Short Subject),84th Academy Awards,Saving Face,2011,,https://www.imdb.com/name/nm1581464,https://en.wikipedia.org/wiki/Sharmeen_Obaid-Chinoy,nm1581464,tt6659444,https://www.imdb.com/title/tt6659444/,,1978,33
Christopher Plummer,1929/12/13,Toronto,Canada,Best Supporting Actor,84th Academy Awards,Beginners,2011,https://www.nndb.com/people/316/000023247,https://www.imdb.com/name/nm0001626,https://en.wikipedia.org/wiki/Christopher_Plummer,nm0001626,tt1532503,https://www.imdb.com/title/tt1532503/,,1929,82
Angus Wall,1967/3/15,,,Best Film Editing,83rd Academy Awards,The Social Network,2010,,https://www.imdb.com/name/nm0908370,https://en.wikipedia.org/wiki/Angus_Wall,nm0908370,tt1285016,https://www.imdb.com/title/tt1285016/,,1967,43
Kathryn Bigelow,1951/11/27,San Carlos,United States of America,Best Picture,82nd Academy Awards,The Hurt Locker,2010,https://www.nndb.com/people/837/000079600,https://www.imdb.com/name/nm0000941,https://en.wikipedia.org/wiki/Kathryn_Bigelow,nm0000941,tt0887912,https://www.imdb.com/title/tt0887912/,,1951,59
Kathryn Bigelow,1951/11/27,San Carlos,United States of America,Best Director,82nd Academy Awards,The Hurt Locker,2010,https://www.nndb.com/people/837/000079600,https://www.imdb.com/name/nm0000941,https://en.wikipedia.org/wiki/Kathryn_Bigelow,nm0000941,tt0887912,https://www.imdb.com/title/tt0887912/,,1951,59
Colleen Atwood,1948/9/25,Yakima,United States of America,Best Costume Design,83rd Academy Awards,Alice in Wonderland,2010,https://www.nndb.com/people/928/000031835,https://www.imdb.com/name/nm0041181,https://en.wikipedia.org/wiki/Colleen_Atwood,nm0041181,tt1477655,https://www.imdb.com/title/tt1477655/,,1948,62
Sandra Bullock,1964/7/26,Arlington County,United States of America,Best Actress,82nd Academy Awards,The Blind Side,2010,https://www.nndb.com/people/601/000023532,https://www.imdb.com/name/nm0000113,https://en.wikipedia.org/wiki/Sandra_Bullock,nm0000113,tt0878804,https://www.imdb.com/title/tt0878804/,,1964,46
Christoph Waltz,1956/10/4,Vienna,Austria,Best Supporting Actor,82nd Academy Awards,Inglourious Basterds,2009,https://www.nndb.com/people/455/000213813,https://www.imdb.com/name/nm0910607,https://en.wikipedia.org/wiki/Christoph_Waltz,nm0910607,tt0361748,https://www.imdb.com/title/tt0361748/,,1956,53
Chris Innis,1966/3/20,San Diego,United States of America,Best Film Editing,82nd Academy Awards,The Hurt Locker,2009,,https://www.imdb.com/name/nm0409197,https://en.wikipedia.org/wiki/Chris_Innis,nm0409197,tt0887912,https://www.imdb.com/title/tt0887912/,,1966,43
Marion Cotillard,1975/9/30,Paris,France,Best Actress,80th Academy Awards,La Vie en Rose,2008,https://www.nndb.com/people/723/000136315,https://www.imdb.com/name/nm0182839,https://en.wikipedia.org/wiki/Marion_Cotillard,nm0182839,tt0450188,https://www.imdb.com/title/tt0450188/,,1975,33
Diablo Cody,1978/6/14,Lemont,United States of America,"Best Writing, Original Screenplay",80th Academy Awards,Juno,2008,https://www.nndb.com/people/813/000165318,https://www.imdb.com/name/nm1959505,https://en.wikipedia.org/wiki/Diablo_Cody,nm1959505,tt0467406,https://www.imdb.com/title/tt0467406/,,1978,30
A. R. Rahman,1966/1/6,Chennai,India,Best Original Score,81st Academy Awards,Slumdog Millionaire,2008,,https://www.imdb.com/name/nm0006246,https://en.wikipedia.org/wiki/A._R._Rahman,nm0006246,tt1010048,https://www.imdb.com/title/tt1010048/,,1966,42
A. R. Rahman,1967/1/6,Chennai,India,Best Original Score,81st Academy Awards,Slumdog Millionaire,2008,,https://www.imdb.com/name/nm0006246,https://en.wikipedia.org/wiki/A._R._Rahman,nm0006246,tt1010048,https://www.imdb.com/title/tt1010048/,,1967,41
Dustin Lance Black,1974/6/10,Sacramento,United States of America,"Best Writing, Original Screenplay",81st Academy Awards,Milk,2008,,https://www.imdb.com/name/nm0085257,https://en.wikipedia.org/wiki/Dustin_Lance_Black,nm0085257,tt0446403,https://www.imdb.com/title/tt0446403/,,1974,34
Sean Penn,1960/8/17,Santa Monica,United States of America,Best Actor,81st Academy Awards,Milk,2008,https://www.nndb.com/people/331/000025256,https://www.imdb.com/name/nm0000576,https://en.wikipedia.org/wiki/Sean_Penn,nm0000576,tt0446403,https://www.imdb.com/title/tt0446403/,,1960,48
Pen??lope Cruz,1974/4/28,Alcobendas,Spain,Best Supporting Actress,81st Academy Awards,Vicky Cristina Barcelona,2008,https://www.nndb.com/people/748/000025673,https://www.imdb.com/name/nm0004851,https://en.wikipedia.org/wiki/Pen%C3%A9lope_Cruz,nm0004851,tt0497465,https://www.imdb.com/title/tt0497465/,,1974,34
Heath Ledger,1979/4/4,Perth,Australia,Best Supporting Actor,81st Academy Awards,The Dark Knight,2008,https://www.nndb.com/people/204/000029117,https://www.imdb.com/name/nm0005132,https://en.wikipedia.org/wiki/Heath_Ledger,nm0005132,tt0468569,https://www.imdb.com/title/tt0468569/,,1979,29
Javier Bardem,1969/3/1,Las Palmas de Gran Canaria,Spain,Best Supporting Actor,80th Academy Awards,No Country for Old Men,2007,https://www.nndb.com/people/733/000109406,https://www.imdb.com/name/nm0000849,https://en.wikipedia.org/wiki/Javier_Bardem,nm0000849,tt0477348,https://www.imdb.com/title/tt0477348/,,1969,38
Javier Bardem,1969/5/1,Las Palmas de Gran Canaria,Spain,Best Supporting Actor,80th Academy Awards,No Country for Old Men,2007,https://www.nndb.com/people/733/000109406,https://www.imdb.com/name/nm0000849,https://en.wikipedia.org/wiki/Javier_Bardem,nm0000849,tt0477348,https://www.imdb.com/title/tt0477348/,,1969,38
Helen Mirren,1945/7/26,Chiswick,United Kingdom,Best Actress,79th Academy Awards,The Queen,2007,https://www.nndb.com/people/907/000044775,https://www.imdb.com/name/nm0000545,https://en.wikipedia.org/wiki/Helen_Mirren,nm0000545,tt0436697,https://www.imdb.com/title/tt0436697/,,1945,62
Daniel Day-Lewis,1957/4/29,London,United Kingdom,Best Actor,80th Academy Awards,There Will Be Blood,2007,https://www.nndb.com/people/788/000022722,https://www.imdb.com/name/nm0000358,https://en.wikipedia.org/wiki/Daniel_Day-Lewis,nm0000358,tt0469494,https://www.imdb.com/title/tt0469494/,,1957,50
Gustavo Santaolalla,1951/8/19,"El Palomar, Buenos Aires",Argentina,Best Original Score,79th Academy Awards,Babel,2006,,https://www.imdb.com/name/nm0763395,https://en.wikipedia.org/wiki/Gustavo_Santaolalla,nm0763395,tt0826037,https://www.imdb.com/title/tt0826037/,,1951,55
Martin Scorsese,1942/11/17,Queens,United States of America,Best Director,79th Academy Awards,The Departed,2006,https://www.nndb.com/people/678/000022612,https://www.imdb.com/name/nm0000217,https://en.wikipedia.org/wiki/Martin_Scorsese,nm0000217,tt0407887,https://www.imdb.com/title/tt0407887/,,1942,64
Thelma Schoonmaker,1940/1/3,Algeria,Algeria,Best Film Editing,79th Academy Awards,The Departed,2006,,https://www.imdb.com/name/nm0774817,https://en.wikipedia.org/wiki/Thelma_Schoonmaker,nm0774817,tt0407887,https://www.imdb.com/title/tt0407887/,,1940,66
Alan Arkin,1934/3/26,New York City,United States of America,Best Supporting Actor,79th Academy Awards,Little Miss Sunshine,2006,https://www.nndb.com/people/777/000022711,https://www.imdb.com/name/nm0000273,https://en.wikipedia.org/wiki/Alan_Arkin,nm0000273,tt0449059,https://www.imdb.com/title/tt0449059/,,1934,72
Michael Arndt,1970/11/22,McLean,United States of America,"Best Writing, Original Screenplay",79th Academy Awards,Little Miss Sunshine,2006,,https://www.imdb.com/name/nm1578335,https://en.wikipedia.org/wiki/Michael_Arndt,nm1578335,tt0449059,https://www.imdb.com/title/tt0449059/,,1970,36
Ang Lee,1954/10/23,Chaozhou,Taiwan,Best Director,78th Academy Awards,Brokeback Mountain,2005,https://www.nndb.com/people/394/000025319,https://www.imdb.com/name/nm0000487,https://en.wikipedia.org/wiki/Ang_Lee,nm0000487,tt0388795,https://www.imdb.com/title/tt0388795/,,1954,51
Gustavo Santaolalla,1951/8/19,"El Palomar, Buenos Aires",Argentina,Best Original Score,78th Academy Awards,Brokeback Mountain,2005,,https://www.imdb.com/name/nm0763395,https://en.wikipedia.org/wiki/Gustavo_Santaolalla,nm0763395,tt0388795,https://www.imdb.com/title/tt0388795/,,1951,54
Cate Blanchett,1969/5/14,Melbourne,Australia,Best Supporting Actress,77th Academy Awards,The Aviator,2005,https://www.nndb.com/people/222/000026144,https://www.imdb.com/name/nm0000949,https://en.wikipedia.org/wiki/Cate_Blanchett,nm0000949,tt0338751,https://www.imdb.com/title/tt0338751/,,1969,36
Reese Witherspoon,1976/3/22,Baton Rouge,United States of America,Best Actress,78th Academy Awards,Walk the Line,2005,https://www.nndb.com/people/813/000022747,https://www.imdb.com/name/nm0000702,https://en.wikipedia.org/wiki/Reese_Witherspoon,nm0000702,tt0358273,https://www.imdb.com/title/tt0358273/,,1976,29
George Clooney,1961/5/6,Lexington,United States of America,Best Supporting Actor,78th Academy Awards,Syriana,2005,https://www.nndb.com/people/763/000022697,https://www.imdb.com/name/nm0000123,https://en.wikipedia.org/wiki/George_Clooney,nm0000123,tt0365737,https://www.imdb.com/title/tt0365737/,,1961,44
