,budget,genre,id,imdb_id,overview,original_title,popularity,revenue,release_date,title,year,is_winner
601,27000000,Drama,409,tt0116209,"Beginning in the 1930s, ""The English Patient"" tells the story of Count Alm??sy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Alm??sy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Alm??sy is on his death bed after being horribly burned in a plane crash.",The English Patient,15.564161,231976425,11/14/1996,The English Patient,1996,TRUE
602,27000000,Romance,409,tt0116209,"Beginning in the 1930s, ""The English Patient"" tells the story of Count Alm??sy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Alm??sy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Alm??sy is on his death bed after being horribly burned in a plane crash.",The English Patient,15.564161,231976425,11/14/1996,The English Patient,1996,TRUE
603,27000000,War,409,tt0116209,"Beginning in the 1930s, ""The English Patient"" tells the story of Count Alm??sy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Alm??sy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Alm??sy is on his death bed after being horribly burned in a plane crash.",The English Patient,15.564161,231976425,11/14/1996,The English Patient,1996,TRUE
118,72000000,Action,197,tt0112573,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Braveheart,20.755149,2.10E+08,5/24/1995,Braveheart,1995,TRUE
119,72000000,Drama,197,tt0112573,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Braveheart,20.755149,2.10E+08,5/24/1995,Braveheart,1995,TRUE
120,72000000,History,197,tt0112573,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Braveheart,20.755149,2.10E+08,5/24/1995,Braveheart,1995,TRUE
121,72000000,War,197,tt0112573,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Braveheart,20.755149,2.10E+08,5/24/1995,Braveheart,1995,TRUE
260,55000000,Comedy,13,tt0109830,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",Forrest Gump,48.307194,677945399,7/6/1994,Forrest Gump,1994,TRUE
261,55000000,Drama,13,tt0109830,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",Forrest Gump,48.307194,677945399,7/6/1994,Forrest Gump,1994,TRUE
262,55000000,Romance,13,tt0109830,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",Forrest Gump,48.307194,677945399,7/6/1994,Forrest Gump,1994,TRUE
