	Name	Movie	Year of award	bioID	year_awarded	movieID
104	Charles Bryant Lang, Jr.	A Farewell to Arms	1933	https://www.imdb.com/name/nm0485702/	1933	https://www.imdb.com/title/tt0022879/
105	George J. Folsey	Reunion in Vienna	1933	https://www.imdb.com/name/nm0005706/	1933	https://www.imdb.com/title/tt0024496/
106	Karl Struss	The Sign of the Cross	1933	https://www.imdb.com/name/nm0835365/	1933	https://www.imdb.com/title/tt0023470/
107	Frank Lloyd	Cavalcade	1933	https://www.imdb.com/name/nm0515979/	1933	https://www.imdb.com/title/tt0023876/
108	Frank Capra	Lady for a Day	1933	https://www.imdb.com/name/nm0001008/	1933	https://www.imdb.com/title/tt0024240/
109	George Cukor	Little Women	1933	https://www.imdb.com/name/nm0002030/	1933	https://www.imdb.com/title/tt0024264/
110	Clark Gable	It Happened One Night	1935	https://www.imdb.com/name/nm0000022/	1935	https://www.imdb.com/title/tt0025316/
111	Frank Morgan	The Affairs of Cellini	1935	https://www.imdb.com/name/nm0604656/	1935	https://www.imdb.com/title/tt0024816/
112	William Powell	The Thin Man	1935	https://www.imdb.com/name/nm0001635/	1935	https://www.imdb.com/title/tt0025878/
113	Claudette Colbert	It Happened One Night	1935	https://www.imdb.com/name/nm0001055/	1935	https://www.imdb.com/title/tt0025316/
114	Bette Davis	Of Human Bondage	1935	https://www.imdb.com/name/nm0000012/	1935	https://www.imdb.com/title/tt0025586/
115	Grace Moore	One Night of Love	1935	https://www.imdb.com/name/nm0601254/	1935	https://www.imdb.com/title/tt0025601/
116	Norma Shearer	The Barretts of Wimpole Street	1935	https://www.imdb.com/name/nm0790454/	1935	https://www.imdb.com/title/tt0024865/
117	Charles Rosher	The Affairs of Cellini	1935	https://www.imdb.com/name/nm0003546/	1935	https://www.imdb.com/title/tt0024816/
118	Victor Milner	Cleopatra	1935	https://www.imdb.com/name/nm0005800/	1935	https://www.imdb.com/title/tt0024991/
119	George Folsey	Operator 13	1935	https://www.imdb.com/name/nm0284390/	1935	https://www.imdb.com/title/tt0025607/
120	Frank Capra	It Happened One Night	1935	https://www.imdb.com/name/nm0001008/	1935	https://www.imdb.com/title/tt0025316/
121	Victor Schertzinger	One Night of Love	1935	https://www.imdb.com/name/nm0006276/	1935	https://www.imdb.com/title/tt0025601/
122	W. S. Van Dyke	The Thin Man	1935	https://www.imdb.com/name/nm0886754/	1935	https://www.imdb.com/title/tt0025878/
123	Clark Gable	Mutiny on the Bounty	1936	https://www.imdb.com/name/nm0000022/	1936	https://www.imdb.com/title/tt0026752/
124	Charles Laughton	Mutiny on the Bounty	1936	https://www.imdb.com/name/nm0001452/	1936	https://www.imdb.com/title/tt0026752/
125	Victor McLaglen	The Informer	1936	https://www.imdb.com/name/nm0572142/	1936	https://www.imdb.com/title/tt0026529/
126	Paul Muni	Black Fury	1936	https://www.imdb.com/name/nm0612847/	1936	https://www.imdb.com/title/tt0026121/
127	Franchot Tone	Mutiny on the Bounty	1936	https://www.imdb.com/name/nm0867144/	1936	https://www.imdb.com/title/tt0026752/
128	Elisabeth Bergner	Escape Me Never	1936	https://www.imdb.com/name/nm0074949/	1936	https://www.imdb.com/title/tt0026320/
129	Claudette Colbert	Private Worlds	1936	https://www.imdb.com/name/nm0001055/	1936	https://www.imdb.com/title/tt0026893/
130	Bette Davis	Dangerous	1936	https://www.imdb.com/name/nm0000012/	1936	https://www.imdb.com/title/tt0026261/
131	Katharine Hepburn	Alice Adams	1936	https://www.imdb.com/name/nm0000031/	1936	https://www.imdb.com/title/tt0026056/
132	Miriam Hopkins	Becky Sharp	1936	https://www.imdb.com/name/nm0394244/	1936	https://www.imdb.com/title/tt0026104/
133	Merle Oberon	The Dark Angel	1936	https://www.imdb.com/name/nm0643353/	1936	https://www.imdb.com/title/tt0026264/
134	Ray June	Barbary Coast	1936	https://www.imdb.com/name/nm0432482/	1936	https://www.imdb.com/title/tt0026097/
135	Victor Milner	The Crusades	1936	https://www.imdb.com/name/nm0005800/	1936	https://www.imdb.com/title/tt0026249/
136	Gregg Toland	Les Miserables	1936	https://www.imdb.com/name/nm0005904/	1936	https://www.imdb.com/title/tt0026725/
137	Hal Mohr	A Midsummer Night's Dream	1936	https://www.imdb.com/name/nm0005803/	1936	https://www.imdb.com/title/tt0026714/
