,title,oscar_num,year,producer,is_winner,budget,genres,id,imdb_id,overview,original_title,popularity,revenue,release_date,award_year
37,Awakenings,63,1990,"Walter F. Parkes and Lawrence Lasker, Producers",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",11005,tt0099077,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",Awakenings,13.201595,52096475,1990/12/19,1990/12/31
38,Babe,68,1995,"George Miller, Doug Mitchell and Bill Miller, Producers",FALSE,30000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",9598,tt0112431,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",Babe,14.404764,254134910,1995/7/18,1995/12/31
39,Babel,79,2006,"Alejandro Gonz??lez I????rritu, Jon Kilik and Steve Golin, Producers",FALSE,25000000,"[{'id': 18, 'name': 'Drama'}]",1164,tt0449467,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",Babel,12.60853,135330182,2006/9/8,2006/12/31
40,Barry Lyndon,48,1975,"Stanley Kubrick, Producer",FALSE,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",3175,tt0072684,"In the Eighteenth Century, in a small village in Ireland, Redmond Barry is a young farm boy in love with his cousin Nora Brady. When Nora engages to the British Captain John Quin, Barry challenges him for a duel of pistols. He wins and escapes to Dublin, but is robbed on the road. Without any other alternative, Barry joins the British Army to fight in the Seven Years War.",Barry Lyndon,14.003467,2.00E+07,1975/12/18,1975/12/31
41,Beasts of the Southern Wild,85,2012,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",FALSE,1800000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",84175,tt2125435,"Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink in 'the Bathtub', a southern Delta community at the edge of the world. Wink?€?s tough love prepares her for the unraveling of the universe ?€? for a time when he?€?s no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack ?€? temperatures rise, and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink?€?s health fading, Hushpuppy goes in search of her lost mother.",Beasts of the Southern Wild,5.550496,21107746,2012/6/29,2012/12/31
42,Beauty and the Beast,64,1991,"Don Hahn, Producer",FALSE,25000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",10020,tt0101414,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",Beauty and the Beast,23.433511,377350553,1991/11/13,1991/12/31
43,Beauty and the Beast,64,1991,"Don Hahn, Producer",FALSE,0,"[{'id': 14, 'name': 'Fantasy'}]",30844,tt1410295,"A twist on the morality tale of forbidden love between the beautiful Belle and the feared Beast. As the villagers are being brutally murdered and the Beast is hunted down as the one responsible for the mayhem, Belle and Beast team up to defeat the real killer; the power-hungry witch's malevolent troll.",Beauty and the Beast,2.505008,0,2009/11/4,1991/12/31
44,Beauty and the Beast,64,1991,"Don Hahn, Producer",FALSE,160000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",321612,tt2771200,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,Beauty and the Beast,287.253654,1262886337,2017/3/16,1991/12/31
45,Beauty and the Beast,64,1991,"Don Hahn, Producer",FALSE,33000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",197796,tt2316801,"Beauty and the Beast is the adaptation of a story by Madame de Villeneuve. Published anonymously in 1740 as La Jeune Am??ricaine et les contes marins, it paints a portrait of Belle, a joyful and touching young girl who falls in love with the Beast, a cursed creature in search of love and redemption. In 1760, a condensed children?€?s version was published. It was from this version that Jean Cocteau and then Walt Disney drew their famous adaptations. Overshadowed, the original version by Madame de Villeneuve has never been adapted for the screen... until now!",La Belle et la B??te,19.628834,49100000,2014/2/12,1991/12/31
46,Becket,37,1964,"Hal B. Wallis, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",15421,tt0057877,"King Henry II of England has trouble with the Church. When the Archbishop of Canterbury dies, he has a brilliant idea. Rather than appoint another pious cleric loyal to Rome and the Church, he will appoint his old drinking and wenching buddy, Thomas Becket, technically a deacon of the church, to the post. Unfortunately, Becket takes the job seriously and provides abler opposition to Henry.",Becket,3.651821,0,1964/3/11,1964/12/31
