,Name,Movie,Edition,Year of award,Award,Win?,bioID,movieID,movieLink,bioLink,tconst,averageRating,numVotes
89,Karl Struss,Dr. Jekyll and Mr. Hyde,5,1932,Cinematography,False,nm0835365,tt0022835,https://www.imdb.com/title/tt0022835/,https://www.imdb.com/name/nm0835365/,tt0022835,7.6,11865
90,Marie Dressler,Emma,5,1932,LeadingActress,False,nm0237597,tt0022854,https://www.imdb.com/title/tt0022854/,https://www.imdb.com/name/nm0237597/,tt0022854,7.1,838
91,Helen Hayes,The Sin of Madelon Claudet,5,1932,LeadingActress,True,nm0371040,tt0022386,https://www.imdb.com/title/tt0022386/,https://www.imdb.com/name/nm0371040/,tt0022386,6.7,718
92,Ray June,Arrowsmith,5,1932,Cinematography,False,nm0432482,tt0021622,https://www.imdb.com/title/tt0021622/,https://www.imdb.com/name/nm0432482/,tt0021622,6.2,1382
93,Lee Garmes,Shanghai Express,5,1932,Cinematography,True,nm0005716,tt0023458,https://www.imdb.com/title/tt0023458/,https://www.imdb.com/name/nm0005716/,tt0023458,7.3,6914
94,Josef Von Sternberg,Shanghai Express,5,1932,Director,False,nm0903049,tt0023458,https://www.imdb.com/title/tt0023458/,https://www.imdb.com/name/nm0903049/,tt0023458,7.3,6914
95,Frank Borzage,Bad Girl,5,1932,Director,True,nm0097648,tt0021635,https://www.imdb.com/title/tt0021635/,https://www.imdb.com/name/nm0097648/,tt0021635,6.5,1001
96,Leslie Howard,Berkeley Square,6,1933,LeadingActor,False,nm0001366,tt0023794,https://www.imdb.com/title/tt0023794/,https://www.imdb.com/name/nm0001366/,tt0023794,6.5,679
97,Charles Laughton,The Private Life of Henry VIII,6,1933,LeadingActor,True,nm0001452,tt0024473,https://www.imdb.com/title/tt0024473/,https://www.imdb.com/name/nm0001452/,tt0024473,7.1,3440
98,Paul Muni,I Am a Fugitive from a Chain Gang,6,1933,LeadingActor,False,nm0612847,tt0023042,https://www.imdb.com/title/tt0023042/,https://www.imdb.com/name/nm0612847/,tt0023042,8.2,10979
99,Katharine Hepburn,Morning Glory,6,1933,LeadingActress,True,nm0000031,tt0024353,https://www.imdb.com/title/tt0024353/,https://www.imdb.com/name/nm0000031/,tt0024353,6.5,2477
100,May Robson,Lady for a Day,6,1933,LeadingActress,False,nm0733480,tt0024240,https://www.imdb.com/title/tt0024240/,https://www.imdb.com/name/nm0733480/,tt0024240,7.4,3563
101,Frank Capra,Lady for a Day,6,1933,Director,False,nm0001008,tt0024240,https://www.imdb.com/title/tt0024240/,https://www.imdb.com/name/nm0001008/,tt0024240,7.4,3563
102,Diana Wynyard,Cavalcade,6,1933,LeadingActress,False,nm0944087,tt0023876,https://www.imdb.com/title/tt0023876/,https://www.imdb.com/name/nm0944087/,tt0023876,5.8,4187
103,Frank Lloyd,Cavalcade,6,1933,Director,True,nm0515979,tt0023876,https://www.imdb.com/title/tt0023876/,https://www.imdb.com/name/nm0515979/,tt0023876,5.8,4187
104,"Charles Bryant Lang, Jr.",A Farewell to Arms,6,1933,Cinematography,True,nm0485702,tt0022879,https://www.imdb.com/title/tt0022879/,https://www.imdb.com/name/nm0485702/,tt0022879,6.5,4690
105,George J. Folsey,Reunion in Vienna,6,1933,Cinematography,False,nm0005706,tt0024496,https://www.imdb.com/title/tt0024496/,https://www.imdb.com/name/nm0005706/,tt0024496,6.1,216
106,Karl Struss,The Sign of the Cross,6,1933,Cinematography,False,nm0835365,tt0023470,https://www.imdb.com/title/tt0023470/,https://www.imdb.com/name/nm0835365/,tt0023470,6.9,1859
107,George Cukor,Little Women,6,1933,Director,False,nm0002030,tt0024264,https://www.imdb.com/title/tt0024264/,https://www.imdb.com/name/nm0002030/,tt0024264,7.2,5967
108,Clark Gable,It Happened One Night,7,1935,LeadingActor,True,nm0000022,tt0025316,https://www.imdb.com/title/tt0025316/,https://www.imdb.com/name/nm0000022/,tt0025316,8.1,87946
109,Claudette Colbert,It Happened One Night,7,1935,LeadingActress,True,nm0001055,tt0025316,https://www.imdb.com/title/tt0025316/,https://www.imdb.com/name/nm0001055/,tt0025316,8.1,87946
110,Frank Capra,It Happened One Night,7,1935,Director,True,nm0001008,tt0025316,https://www.imdb.com/title/tt0025316/,https://www.imdb.com/name/nm0001008/,tt0025316,8.1,87946
111,Frank Morgan,The Affairs of Cellini,7,1935,LeadingActor,False,nm0604656,tt0024816,https://www.imdb.com/title/tt0024816/,https://www.imdb.com/name/nm0604656/,tt0024816,6.0,315
112,Charles Rosher,The Affairs of Cellini,7,1935,Cinematography,False,nm0003546,tt0024816,https://www.imdb.com/title/tt0024816/,https://www.imdb.com/name/nm0003546/,tt0024816,6.0,315
113,William Powell,The Thin Man,7,1935,LeadingActor,False,nm0001635,tt0025878,https://www.imdb.com/title/tt0025878/,https://www.imdb.com/name/nm0001635/,tt0025878,8.0,25014
114,W. S. Van Dyke,The Thin Man,7,1935,Director,False,nm0886754,tt0025878,https://www.imdb.com/title/tt0025878/,https://www.imdb.com/name/nm0886754/,tt0025878,8.0,25014
115,Bette Davis,Of Human Bondage,7,1935,LeadingActress,True,nm0000012,tt0025586,https://www.imdb.com/title/tt0025586/,https://www.imdb.com/name/nm0000012/,tt0025586,7.2,5778
116,Grace Moore,One Night of Love,7,1935,LeadingActress,False,nm0601254,tt0025601,https://www.imdb.com/title/tt0025601/,https://www.imdb.com/name/nm0601254/,tt0025601,5.7,472
117,Victor Schertzinger,One Night of Love,7,1935,Director,False,nm0006276,tt0025601,https://www.imdb.com/title/tt0025601/,https://www.imdb.com/name/nm0006276/,tt0025601,5.7,472
118,Norma Shearer,The Barretts of Wimpole Street,7,1935,LeadingActress,False,nm0790454,tt0024865,https://www.imdb.com/title/tt0024865/,https://www.imdb.com/name/nm0790454/,tt0024865,7.0,1497
119,Victor Milner,Cleopatra,7,1935,Cinematography,True,nm0005800,tt0024991,https://www.imdb.com/title/tt0024991/,https://www.imdb.com/name/nm0005800/,tt0024991,6.8,3194
120,George Folsey,Operator 13,7,1935,Cinematography,False,nm0284390,tt0025607,https://www.imdb.com/title/tt0025607/,https://www.imdb.com/name/nm0284390/,tt0025607,6.1,1260
121,Clark Gable,Mutiny on the Bounty,8,1936,LeadingActor,False,nm0000022,tt0026752,https://www.imdb.com/title/tt0026752/,https://www.imdb.com/name/nm0000022/,tt0026752,7.7,19624
