,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
12,"Los Angeles, Ca",3-Oct-1898,White,Na,1.0,Straight,1938,Best Director,http://www.nndb.com/people/380/000044248/,The Awful Truth,Leo McCarey,tt0028597,https://www.imdb.com/title/tt0028597/
13,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,1.0,Straight,1939,Best Director,http://www.nndb.com/people/459/000032363/,You Can't Take It with You,Frank Capra,tt0030993,https://www.imdb.com/title/tt0030993/
14,"Pasadena, Ca",23-Feb-1883,White,Na,1.0,Straight,1940,Best Director,http://www.nndb.com/people/416/000041293/,Gone with the Wind,Victor Fleming,tt0031381,https://www.imdb.com/title/tt0031381/
15,"Darjeeling, India",5-Nov-13,White,Roman Catholic,1.0,Straight,1940,Best Actress,http://www.nndb.com/people/470/000022404/,Gone with the Wind,Vivien Leigh,tt0031381,https://www.imdb.com/title/tt0031381/
16,"Wichita, Ks",10-Jun-1893,Black,Christian,1.0,Matter of Dispute,1940,Best Supporting Actress,http://www.nndb.com/people/077/000063885/,Gone with the Wind,Hattie McDaniel,tt0031381,https://www.imdb.com/title/tt0031381/
17,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,1.0,Bisexual,1941,Best Director,http://www.nndb.com/people/458/000032362/,The Grapes of Wrath,John Ford,tt0032551,https://www.imdb.com/title/tt0032551/
18,"Palmyra, Mo",15-Oct-1879,White,Na,1.0,Straight,1941,Best Supporting Actress,http://www.nndb.com/people/078/000063886/,The Grapes of Wrath,Jane Darwell,tt0032551,https://www.imdb.com/title/tt0032551/
19,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,1.0,Bisexual,1942,Best Director,http://www.nndb.com/people/458/000032362/,How Green Was My Valley,John Ford,tt0033729,https://www.imdb.com/title/tt0033729/
20,"London, England",27-Jul-1880,White,Na,1.0,Straight,1942,Best Supporting Actor,http://www.nndb.com/people/689/000031596/,How Green Was My Valley,Donald Crisp,tt0033729,https://www.imdb.com/title/tt0033729/
21,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-1902,White,Na,1.0,Straight,1943,Best Director,http://www.nndb.com/people/463/000032367/,Mrs. Miniver,William Wyler,tt0035093,https://www.imdb.com/title/tt0035093/
22,New York City,27-Oct-18,White,Na,1.0,Straight,1943,Best Supporting Actress,http://www.nndb.com/people/580/000045445/,Mrs. Miniver,Teresa Wright,tt0035093,https://www.imdb.com/title/tt0035093/
23,"Budapest, Hungary",24-Dec-1886,White,Na,1.0,Straight,1944,Best Director,http://www.nndb.com/people/676/000032580/,Casablanca,Michael Curtiz,tt0034583,https://www.imdb.com/title/tt0034583/
24,"Los Angeles, Ca",3-Oct-1898,White,Na,1.0,Straight,1945,Best Director,http://www.nndb.com/people/380/000044248/,Going My Way,Leo McCarey,tt0036872,https://www.imdb.com/title/tt0036872/
25,"Tacoma, Wa",3-May-1903,White,Roman Catholic,0.6667,Straight,1945,Best Actor,http://www.nndb.com/people/651/000026573/,Going My Way,Bing Crosby,tt0036872,https://www.imdb.com/title/tt0036872/
26,"Dublin, Ireland",10-Mar-1888,White,Protestant,1.0,Na,1945,Best Supporting Actor,http://www.nndb.com/people/126/000063934/,Going My Way,Barry Fitzgerald,tt0036872,https://www.imdb.com/title/tt0036872/
27,New York City,11-Oct-18,White,Jewish,1.0,Gay,1962,Best Director,http://www.nndb.com/people/281/000064089/,West Side Story,Jerome Robbins,tt0055614,https://www.imdb.com/title/tt0055614/
28,"Norwood, Oh",16-Sep-34,White,Na,1.0,Gay,1962,Best Supporting Actor,http://www.nndb.com/people/119/000063927/,West Side Story,George Chakiris,tt0055614,https://www.imdb.com/title/tt0055614/
29,"Humacao, Puerto Rico",11-Dec-31,Hispanic,Na,1.0,Straight,1962,Best Supporting Actress,http://www.nndb.com/people/463/000023394/,West Side Story,Rita Moreno,tt0055614,https://www.imdb.com/title/tt0055614/
