,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
348,"Quitman, Tx",25-Dec-49,White,Na,0.6897,Straight,1981,Best Actress,http://www.nndb.com/people/758/000023689/,Coal Miner's Daughter,Sissy Spacek,tt0080549,https://www.imdb.com/title/tt0080549/
349,"Summit, Nj",22-Jun-49,White,Na,1.0,Straight,1983,Best Actress,http://www.nndb.com/people/001/000024926/,Sophie's Choice,Meryl Streep,tt0084707,https://www.imdb.com/title/tt0084707/
350,"Pasadena, Ca",6-Nov-46,White,Na,1.0,Straight,1985,Best Actress,http://www.nndb.com/people/897/000022831/,Places in the Heart,Sally Field,tt0087921,https://www.imdb.com/title/tt0087921/
351,"Kirksville, Mo",22-Nov-24,White,Na,1.0,Straight,1986,Best Actress,http://www.nndb.com/people/780/000043651/,The Trip to Bountiful,Geraldine Page,tt0090203,https://www.imdb.com/title/tt0090203/
352,"Morton Grove, Il",24-Aug-65,White,Jewish,1.0,Straight,1987,Best Actress,http://www.nndb.com/people/870/000023801/,Children of a Lesser God,Marlee Matlin,tt0090830,https://www.imdb.com/title/tt0090830/
353,"El Centro, Ca",20-May-46,White,Na,1.0,Bisexual,1988,Best Actress,http://www.nndb.com/people/688/000022622/,Moonstruck,Cher,tt0093565,https://www.imdb.com/title/tt0093565/
354,"Lowell, Ma",20-Jun-31,White,Na,1.0,Straight,1988,Best Supporting Actress,http://www.nndb.com/people/430/000023361/,Moonstruck,Olympia Dukakis,tt0093565,https://www.imdb.com/title/tt0093565/
355,"Los Angeles, Ca",19-Nov-62,White,Atheist,1.0,Lesbian,1989,Best Actress,http://www.nndb.com/people/756/000023687/,The Accused,Jodie Foster,tt0094608,https://www.imdb.com/title/tt0094608/
356,"London, England",7-Jun-09,White,Na,1.0,Straight,1990,Best Actress,http://www.nndb.com/people/017/000023945/,Driving Miss Daisy,Jessica Tandy,tt0097239,https://www.imdb.com/title/tt0097239/
357,"Memphis, Tn",28-Jun-48,White,Na,1.0,Straight,1991,Best Actress,http://www.nndb.com/people/907/000024835/,Misery,Kathy Bates,tt0100157,https://www.imdb.com/title/tt0100157/
358,"London, England",15-Apr-59,White,Na,1.0,Straight,1993,Best Actress,http://www.nndb.com/people/627/000025552/,Howards End,Emma Thompson,tt0104454,https://www.imdb.com/title/tt0104454/
359,"Conyers, Ga",20-Mar-58,White,Na,1.0,Straight,1994,Best Actress,http://www.nndb.com/people/566/000023497/,The Piano,Holly Hunter,tt0107822,https://www.imdb.com/title/tt0107822/
360,"Winnipeg, Manitoba, Canada",24-Jul-82,White,Na,1.0,Bisexual,1994,Best Supporting Actress,http://www.nndb.com/people/763/000025688/,The Piano,Anna Paquin,tt0107822,https://www.imdb.com/title/tt0107822/
361,"Cloquet, Mn",20-Apr-49,White,Na,1.0,Straight,1995,Best Actress,http://www.nndb.com/people/004/000022935/,Blue Sky,Jessica Lange,tt0109306,https://www.imdb.com/title/tt0109306/
362,"Queens, Ny",4-Oct-46,White,Roman Catholic,1.0,Straight,1996,Best Actress,http://www.nndb.com/people/762/000024690/,Dead Man Walking,Susan Sarandon,tt0112818,https://www.imdb.com/title/tt0112818/
363,"Chicago, Il",23-Jun-57,White,Disciples of Christ,1.0,Straight,1997,Best Actress,http://www.nndb.com/people/517/000025442/,Fargo,Frances McDormand,tt0116282,https://www.imdb.com/title/tt0116282/
364,"Culver City, Ca",15-Jun-63,White,Na,1.0,Straight,1998,Best Actress,http://www.nndb.com/people/554/000023485/,As Good As It Gets,Helen Hunt,tt0119822,https://www.imdb.com/title/tt0119822/
365,"Los Angeles, Ca",27-Sep-72,White,Jewish,1.0,Straight,1999,Best Actress,http://www.nndb.com/people/592/000023523/,Shakespeare in Love,Gwyneth Paltrow,tt0138097,https://www.imdb.com/title/tt0138097/
366,"York, North Yorkshire, England",9-Dec-34,White,Quaker,1.0,Straight,1999,Best Supporting Actress,http://www.nndb.com/people/824/000023755/,Shakespeare in Love,Judi Dench,tt0138097,https://www.imdb.com/title/tt0138097/
367,"Los Angeles, Ca",27-Sep-72,White,Jewish,1.0,Straight,1999,Best Actress,http://www.nndb.com/people/592/000023523/,Shakespeare in Love,Gwyneth Paltrow,tt0138097,https://www.imdb.com/title/tt0138097/
368,"Lincoln, Ne",30-Jul-74,White,Na,1.0,Straight,2000,Best Actress,http://www.nndb.com/people/333/000026255/,Boys Don't Cry,Hilary Swank,tt0171804,https://www.imdb.com/title/tt0171804/
369,"Smyrna, Ga",28-Oct-67,White,Hindu,1.0,Straight,2001,Best Actress,http://www.nndb.com/people/592/000022526/,Erin Brockovich,Julia Roberts,tt0195685,https://www.imdb.com/title/tt0195685/
370,"Cleveland, Oh",14-Aug-66,Multiracial,Na,1.0,Straight,2002,Best Actress,http://www.nndb.com/people/487/000023418/,Monster's Ball,Halle Berry,tt0285742,https://www.imdb.com/title/tt0285742/
371,"Honolulu, Hi",20-Jun-67,White,Roman Catholic,1.0,Straight,2003,Best Actress,http://www.nndb.com/people/917/000022851/,The Hours,Nicole Kidman,tt0274558,https://www.imdb.com/title/tt0274558/
372,"Benoni, South Africa",7-Aug-75,White,Na,1.0,Straight,2004,Best Actress,http://www.nndb.com/people/146/000026068/,Monster,Charlize Theron,tt0340855,https://www.imdb.com/title/tt0340855/
373,"New Orleans, La",22-Mar-76,White,Na,1.0,Straight,2006,Best Actress,http://www.nndb.com/people/813/000022747/,Walk the Line,Reese Witherspoon,tt0358273,https://www.imdb.com/title/tt0358273/
374,"Chiswick, London, England",26-Jul-45,White,Na,1.0,Straight,2007,Best Actress,http://www.nndb.com/people/907/000044775/,The Queen,Helen Mirren,tt0436697,https://www.imdb.com/title/tt0436697/
375,"Paris, France",30-Sep-75,White,Na,1.0,Straight,2008,Best Actress,http://www.nndb.com/people/723/000136315/,The Passionate Life of Edith Piaf,Marion Cotillard,tt0450188,https://www.imdb.com/title/tt0450188/
376,"Reading, England",5-Oct-75,White,Na,1.0,Straight,2009,Best Actress,http://www.nndb.com/people/582/000023513/,The Reader,Kate Winslet,tt0976051,https://www.imdb.com/title/tt0976051/
377,"Arlington, Va",26-Jul-64,White,Na,1.0,Straight,2010,Best Actress,http://www.nndb.com/people/601/000023532/,The Blind Side,Sandra Bullock,tt0878804,https://www.imdb.com/title/tt0878804/
378,"Jerusalem, Israel",9-Jun-81,White,Jewish,1.0,Straight,2011,Best Actress,http://www.nndb.com/people/040/000022971/,Black Swan,Natalie Portman,tt0947798,https://www.imdb.com/title/tt0947798/
379,"Summit, Nj",22-Jun-49,White,Na,1.0,Straight,2012,Best Actress,http://www.nndb.com/people/001/000024926/,The Iron Lady,Meryl Streep,tt1007029,https://www.imdb.com/title/tt1007029/
380,"Louisville, Ky",15-Aug-90,White,Na,1.0,Na,2013,Best Actress,http://www.nndb.com/people/597/000272778/,Silver Linings Playbook,Jennifer Lawrence,tt1045658,https://www.imdb.com/title/tt1045658/
381,"Melbourne, Victoria, Australia",14-May-69,White,Na,1.0,Straight,2014,Best Actress,http://www.nndb.com/people/222/000026144/,Blue Jasmine,Cate Blanchett,tt2334873,https://www.imdb.com/title/tt2334873/
382,"Litchfield, Mn",15-Feb-1899,White,Na,1.0,Straight,1937,Best Supporting Actress,http://www.nndb.com/people/062/000063870/,Anthony Adverse,Gale Sondergaard,tt0027300,https://www.imdb.com/title/tt0027300/
383,New York City,2-Nov-1892,White,Na,1.0,Straight,1938,Best Supporting Actress,http://www.nndb.com/people/079/000063887/,In Old Chicago,Alice Brady,tt0029047,https://www.imdb.com/title/tt0029047/
384,"Quincy, Il",3-May-06,White,Roman Catholic,1.0,Straight,1942,Best Supporting Actress,http://www.nndb.com/people/690/000042564/,The Great Lie,Mary Astor,tt0033677,https://www.imdb.com/title/tt0033677/
385,"Quincy, Il",3-May-06,White,Roman Catholic,1.0,Straight,1942,Best Supporting Actress,http://www.nndb.com/people/690/000042564/,The Great Lie,Mary Astor,tt0033677,https://www.imdb.com/title/tt0033677/
386,"Athens, Greece",17-Dec-1900,White,Na,1.0,Straight,1944,Best Supporting Actress,http://www.nndb.com/people/080/000063888/,For Whom the Bell Tolls,Katina Paxinou,tt0035896,https://www.imdb.com/title/tt0035896/
387,"Philadelphia, Pa",15-Aug-1879,White,Roman Catholic,1.0,Straight,1945,Best Supporting Actress,http://www.nndb.com/people/743/000043614/,None but the Lonely Heart,Ethel Barrymore,tt0037135,https://www.imdb.com/title/tt0037135/
388,New York City,25-Jun-1903,White,Na,1.0,Straight,1946,Best Supporting Actress,http://www.nndb.com/people/081/000063889/,National Velvet,Anne Revere,tt0037120,https://www.imdb.com/title/tt0037120/
389,New York City,25-Jun-1903,White,Na,1.0,Straight,1946,Best Supporting Actress,http://www.nndb.com/people/081/000063889/,National Velvet,Anne Revere,tt0037120,https://www.imdb.com/title/tt0037120/
390,"Michigan City, In",7-May-23,White,Na,1.0,Straight,1947,Best Supporting Actress,http://www.nndb.com/people/458/000026380/,The Razor's Edge,Anne Baxter,tt0038873,https://www.imdb.com/title/tt0038873/
391,New York City,8-Mar-10,White,Na,1.0,Straight,1949,Best Supporting Actress,http://www.nndb.com/people/085/000063893/,Key Largo,Claire Trevor,tt0040506,https://www.imdb.com/title/tt0040506/
392,"Joliet, Il",17-Mar-16,White,Roman Catholic,1.0,Straight,1950,Best Supporting Actress,http://www.nndb.com/people/086/000063894/,All the King's Men,Mercedes McCambridge,tt0041113,https://www.imdb.com/title/tt0041113/
393,"Newtonville, Ma",3-Jan-1886,White,Na,1.0,Straight,1951,Best Supporting Actress,http://www.nndb.com/people/087/000063895/,Harvey,Josephine Hull,tt0042546,https://www.imdb.com/title/tt0042546/
394,"Los Angeles, Ca",28-Nov-23,White,Na,1.0,Straight,1953,Best Supporting Actress,http://www.nndb.com/people/088/000063896/,The Bad and the Beautiful,Gloria Grahame,tt0044391,https://www.imdb.com/title/tt0044391/
395,"Oakland, Ca",30-Dec-14,White,Na,1.0,Straight,1956,Best Supporting Actress,http://www.nndb.com/people/089/000063897/,East of Eden,Jo Van Fleet,tt0048028,https://www.imdb.com/title/tt0048028/
396,"Chicago, Il",30-Jan-25,White,Na,1.0,Straight,1957,Best Supporting Actress,http://www.nndb.com/people/090/000063898/,Written on the Wind,Dorothy Malone,tt0049966,https://www.imdb.com/title/tt0049966/
397,"St. Louis, Mo",18-Aug-20,White,Jewish,1.0,Straight,1960,Best Supporting Actress,http://www.nndb.com/people/859/000022793/,The Diary of Anne Frank,Shelley Winters,tt0052738,https://www.imdb.com/title/tt0052738/
398,"London, England",11-May-1892,White,Na,1.0,Straight,1964,Best Supporting Actress,http://www.nndb.com/people/052/000063860/,the V.I.P.s,Margaret Rutherford,tt0057634,https://www.imdb.com/title/tt0057634/
399,"St. Petersburg, Russia",9-Oct-18,White,Na,1.0,Straight,1965,Best Supporting Actress,http://www.nndb.com/people/049/000063857/,Zorba the Greek,Lila Kedrova,tt0057831,https://www.imdb.com/title/tt0057831/
400,"St. Louis, Mo",18-Aug-20,White,Jewish,1.0,Straight,1966,Best Supporting Actress,http://www.nndb.com/people/859/000022793/,A Patch of Blue,Shelley Winters,tt0059573,https://www.imdb.com/title/tt0059573/
401,"Marblehead, Ma",20-Nov-27,White,Na,1.0,Straight,1968,Best Supporting Actress,http://www.nndb.com/people/475/000032379/,Bonnie and Clyde,Estelle Parsons,tt0061418,https://www.imdb.com/title/tt0061418/
